Product,Price,Link
"USB Type C Headphones with Super Bass and 7.1 Surround, 4 Sound Effects & Karaoke Mode in Ear Earphones Wired Earbuds for Samsung Galaxy S22 S21 S20 Ultra Plus Note20, iPad Pro Air 4 mini 6, OnePlus 9",25.49,https://www.amazon.com/Headphones-Surround-Effects-Karaoke-Earphones/dp/B09LHMHVY2/
"Singtrix Portable Karaoke Machine On Shark Tank, Kids & Adults, All-In-One Karaoke System, 350+Voice Effects & Autotuning, PA Speaker, Party Bundle, Karaoke Microphone, Use Free YouTube Karaoke Songs",399.99,https://www.amazon.com/Singtrix-Bundle-Premium-Karaoke-System/dp/B00JBJ2HNO/
